date,topic,summary
"2026-04-15","fix","fix: bump version to 1.1.4 in package.json"
"2026-04-15","chore","chore: bump structura to 1.1.4 for publish"
"2026-04-15","test","test(structura): battle tests for webview API (24 tests, 100% pass)"
"2026-04-15","fix","fix: update subproject commit reference to latest version"
"2026-04-15","fix","fix(webview): eliminate double MCP SSE connection + remove redundant init calls"
"2026-04-15","fix","fix: change default MCP port from 3001 to 9743 to avoid common port conflicts"
"2026-04-15","feat","feat(structura): add webview sub-export + BOM stripper + extension guide"
"2026-04-15","fix","fix: mark subproject commit as dirty to indicate uncommitted changes"
"2026-04-15","chore","chore: bump versions to publish fixes"
"2026-04-15","fix","fix: resolve module import errors and missing design system tokens"
"2026-04-14","other","\≡ƒÜÇ MAJOR RELEASE: Complete Headless API + MCP Integration (v1.1.0)\n\nΓ£¿ ..."
"2026-04-14","feat","feat: rename scope to @atomos-web, add WorkspaceConfig/headless/schema-policy..."
"2026-04-14","fix","fix: update subproject commit reference to latest version"
"2026-04-14","Merge","Merge branch 'main' of https://github.com/binaryjack/atomos-monorepo"
"2026-04-14","Refactor","Refactor toolbar patching scripts and remove obsolete test files"
"2026-04-14","fix","fix: update subproject commit reference to latest version"
"2026-04-13","fix","fix: update subproject commit reference to latest version"
"2026-04-13","fix","fix: mark subproject commit as dirty to indicate uncommitted changes"
"2026-04-13","fix","fix: add missing button variant classes for improved styling"
"2026-04-12","fix","fix: update subproject commit reference"
"2026-04-10","docs","docs: add session handoff for 2026-04-10 - collapsible entities and smart ali..."
"2026-04-10","feat","feat: Enhance entity management with collapse functionality and UI improvements"
"2026-04-09","fix","fix: resolve submodule conflict"
"2026-04-09","fix","fix: update subproject commit to indicate dirty state"
"2026-04-09","feat","feat: add schema presets for MVC, MVVM, CQRS, Flux, Database, Class Diagram, ..."
"2026-04-08","feat","feat: add export plugins for Prisma, SQL DDL, and TypeScript interfaces"
"2026-04-08","options","options. - Integrated minimap and entity search features into the canvas page..."
"2026-04-08","chore","chore(formular-dev): mark subproject as dirty to indicate uncommitted changes"
"2026-04-08","chore","chore(package.json): update build script to skip recursive build in atomos-mo..."
"2026-04-08","docs","docs: add session handoff 2026-04-08 ΓÇö validation hardening, duplicate enti..."
"2026-04-08","feat","feat(export): add export plugins for various formats and integrate into setti..."
"2026-04-08","feat","feat(validation): add warning for entities with no properties defined"
"2026-04-08","feat","feat(entity-registry): add idempotency guard to prevent duplicate entity regi..."
"2026-04-08","fix","fix(validation): enhance error handling in schema validation rules and listen..."
"2026-04-08","feat","feat: add keyboard shortcuts panel and validation overlay"
"2026-04-08","chore","chore(formular-dev): update submodule pointer to latest commit"
"2026-04-08","Merge","Merge branch 'main' of https://github.com/binaryjack/atomos-monorepo"
"2026-04-08","feat","feat: update entity component styles to use adaptive sizing with CSS variables"
"2026-04-08","chore","chore(formular-dev): mark subproject as dirty to indicate uncommitted changes"
"2026-04-08","chore","chore(formular-dev): update submodule pointer to latest commit"
"2026-04-07","chore","chore(formular-dev): update submodule pointer to latest main"
"2026-04-07","chore","chore(formular-dev): mark subproject as dirty to indicate uncommitted changes"
"2026-04-07","feat","feat(menu-bar): implement createMenuBar component with menu item definitions"
"2026-04-07","docs","docs: add session handoff for 2026-04-07 ΓÇö shape regression fixes and font ..."
"2026-04-07","feat","feat: update styling to use CSS variables for improved consistency and adapta..."
"2026-04-07","feat","feat: enhance appearance settings and styling options"
"2026-04-07","Refactor","Refactor code structure for improved readability and maintainability"
"2026-04-07","feat","feat(slider): add createRangeSlider component with customizable properties fe..."
"2026-04-05","refactor","refactor(date-picker): update class names to include padding for improved layout"
"2026-04-04","refactor","refactor(date-picker): reorder import statements for improved consistency and..."
"2026-04-04","refactor","refactor(date-picker): update class names to use CSS variables for consistenc..."
"2026-04-04","refactor","refactor(docs): reorder import statements in modal and tabs documentation for..."
"2026-04-04","feat","feat(docs): add documentation for Date Picker, Modal, Stepper, and Tabs compo..."
"2026-04-04","refactor","refactor(docs): reorganize imports in registry.ts for improved readability"
"2026-04-04","feat","feat(docs): update code examples for Accordion, Card, Dropdown, Editable Labe..."
"2026-04-04","feat","feat(docs): add documentation for Card component with state management and re..."
"2026-04-04","feat","feat(docs): add new components documentation for Badge, Button, Checkbox, Cir..."
